file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,keysFactory;,this.keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,nativeIdValues.clone(),new HashSet(nativeIdValues),True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,42,keysFactory.getNaturalIdValues( cacheKey ),keysFactory.getNaturalIdValues( cacheKey ),True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,48,session,session.id,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,49,"""override the abstract getState() method""","""override the abstract getState()",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,54,!value,!value,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,59,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,60,return true,return false;,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,65,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,75,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AddExpression.java,49,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,if ((left.type == Type.tString)) {,if (!right.type.isType(TC_VOID)) {,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,Type.tString != TC_VOID,!Type.tString = TC_VOID,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,TC_VOID,Function.VOID_TYPECHAR_CLASS_TYPE,False,True,UNKNOWN,
./data/AddExpression.java,50,Type.tString,Type.String,False,True,UNKNOWN,
./data/AddExpression.java,51,return,exit,False,True,UNKNOWN,
./data/AddExpression.java,52,!(right.type == Type.tString),!(right.type == Type.tString && !left.type.isType(TC_VOID)),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,right.type.isType(TC_VOID),TC_VOID.isType(right.type),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
