file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,keysFactory,keyTypesFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )","keysFactory.createNaturalKey( naturalIdValues, persister, session )",False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,keysFactory.getNaturalIdValues( cacheKey ),keysFactory.getNaturalIdValues( source ),False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,48,getStorageAccess(),storageService,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,false,null,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,59,"key, value","value, session",True,True,UNKNOWN,90ce4acb75a553fb0ee9501e4d114a02
./data/AbstractNaturalIdDataAccess.java,60,true,false,True,True,VR,70243b9d5093f817d52963e349cd4917
./data/AbstractNaturalIdDataAccess.java,65,false,true,True,True,VR,a51af145a6a5b7550a7dba1726bb1edb
./data/AbstractNaturalIdDataAccess.java,75,getInstance().clearCache(),clearCache(),True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AddExpression.java,49,(left.type == Type.tString),(left.type != Type.tString),True,True,OR,4d650728b470d67e6850eae6cfc5f1c2
./data/AddExpression.java,49,left.type == Type.tString && right.type.isType(TC_VOID),left.type.isType(TC_VOID) && right.type.isType(TC_VOID),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,left,right,True,True,UNKNOWN,da733d52d82a55a5dfaf36bcf39f60d0
./data/AddExpression.java,49,((left.type == Type.tString) && !right.type.isType(TC_VOID)),(left.type == Type.tString),True,True,UNKNOWN,5fe7fc8611b0efaaffe861c893c350fa
./data/AddExpression.java,49,((left.type == Type.tString) && !right.type.isType(TC_VOID)),((!left.type.isType(TC_VOID)) && right.type==Type.tString),True,True,UNKNOWN,bb7b623c0b5b7f3de1b6fc201b43b154
./data/AddExpression.java,50,Type.tString,"Class.forName(""java.lang.String"")",False,True,UNKNOWN,
./data/AddExpression.java,51,return,return false,False,True,UNKNOWN,
./data/AddExpression.java,52,"""}} else if ((right.type == Type.tString) && !left.type.isType(TC_VOID)) {{""","""}} else if ((right.type == Type.tString) && !left.type.isType(TC_NULL)) {{""",True,False,VR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,!left.type.isType(TC_VOID),left.type.isType(TC_VOID),True,True,OR,5a812141eaabe3011e4c87a854bad608
./data/AddExpression.java,52,((right.type == Type.tString) && !left.type.isType(TC_VOID)),(right.type == Type.tString) || !left.type.isType(TC_VOID),False,True,UNKNOWN,
./data/AddExpression.java,52,right.type == Type.tString,!right.type.isUnsigned(),False,True,UNKNOWN,
./data/AddExpression.java,52,right.type == Type.tString && !left.type.isType(TC_VOID),right.type == Type.tString || !left.type.isType(TC_VOID),True,False,OR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,53,Type.tString,Type.String,False,True,UNKNOWN,
./data/AddExpression.java,54,return,/throw new AssertionError();,False,True,UNKNOWN,
./data/AddExpression.java,56,env,ctx,False,True,UNKNOWN,
./data/AddExpression.java,61,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,68,a + b,b + a,True,True,UNKNOWN,db69b7037ef1ee0d049859c8f2401e4a
./data/AddExpression.java,68,a + b,a + 3,True,True,VR,0994e1a8f34a35cd8339f24cab875f53
./data/AddExpression.java,68,a + b,10,True,True,VR,6408c3508043dc21d1fa511e6b05b09e
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new IntExpression(where, a)",True,True,UNKNOWN,9cd80d7277ac9e3c3b7c1511d831f4d7
./data/AddExpression.java,71,a + b,a - b,True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,71,a + b,a,True,True,UNKNOWN,ff4412d931cd4edd8b8bb2707756fd71
./data/AddExpression.java,71,a + b,b - a,True,True,UNKNOWN,2660d0b6a2ecfc451ded9aff36c883be
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a - b)",True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,74,"new FloatExpression(where, a + b)","new FloatExpression(where, a++)",True,True,UNKNOWN,cb387c43286aec368aef373dd7cf6f7e
./data/AddExpression.java,74,a + b,b + a,True,True,UNKNOWN,9ffae9abed7e96f3054056d93d59eb43
./data/AddExpression.java,74,a + b,b * a,True,True,UNKNOWN,1d900b17cad61ca1b192b5f6058d5e63
./data/AddExpression.java,74,a + b,"new FloatExpression(where, a + b)",False,True,UNKNOWN,
./data/AddExpression.java,77,where,this,False,True,UNKNOWN,
./data/AddExpression.java,77,a + b,(a) + (b),True,True,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,77,a + b,a - b,True,True,OR,5af5a364549da9d2a0aee47f39d893ab
./data/AddExpression.java,77,"new DoubleExpression(where, a + b)","DoubleExpression.make(a +b, where)",False,True,UNKNOWN,
./data/AddExpression.java,80,a + b,a - b,False,True,OR,
./data/AddExpression.java,90,type == Type.tString && isConstant(),s.type == Type.tString && s.isConstant(),False,True,UNKNOWN,
./data/AddExpression.java,90,type == Type.tString && isConstant(),value == Type.tString && isConstan(),False,True,UNKNOWN,
./data/AddExpression.java,90,"""tString""","""string""",True,False,VR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,90,Type.tString,Type.tChar,True,True,UNKNOWN,7c97d6591c548c0dd356d237ebd31ce8
./data/AddExpression.java,90,isConstant(),constant.length==1,False,True,UNKNOWN,
./data/AddExpression.java,91,"inlineValueSB(env, ctx, new StringBuffer())","inlineValueSB(env,ctx,new StringBuffer())",True,True,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,92,buffer != null,buffer == null,True,True,OR,2a8680d50553a4392481b46a36837f15
./data/AddExpression.java,94,where,(String),False,True,UNKNOWN,
./data/AddExpression.java,99,"super.inlineValue(env, ctx)",super.toString(),False,True,UNKNOWN,
./data/AddExpression.java,150,type != Type.tString,type == Type.tString,True,True,OR,e35c13106ff82d4e790c3903801ae5ca
./data/AddExpression.java,153,inlined,super.inlined,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,156,"buffer = left.inlineValueSB(env, ctx, buffer)","buffer.append(left.inlineValueIB(env, ctx))",False,True,UNKNOWN,
./data/AddExpression.java,157,if (buffer != null),buffer = new StringBuffer(suiteId);,False,True,UNKNOWN,
./data/AddExpression.java,158,right,left,True,True,UNKNOWN,dead3e294c9e923daae40ba03c09e90e
./data/AddExpression.java,160,buffer,"""""",False,True,VR,
./data/AddExpression.java,167,!type.isType(TC_CLASS),type.isType(TC_CLASS),True,True,OR,64a8cc2688c4b8064b427893b23862ec
./data/AddExpression.java,167,TC_CLASS,TC_ARRAY,True,True,UNKNOWN,2ea3284c68ae335c910180a15f0caa8a
./data/AddExpression.java,169,TmTree,TmTokenSet,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,169,type.inMask(TM_INTEGER),type.inMask(TM_COMPONENT),False,True,UNKNOWN,
./data/AddExpression.java,170,left,1,False,True,VR,
./data/AddExpression.java,170,if (left.equals(0)),if (left == 0),False,True,UNKNOWN,
./data/AddExpression.java,170,left.equals(0),left == 0,False,True,UNKNOWN,
./data/AddExpression.java,170,left.equals(0),left == 0,False,True,UNKNOWN,
./data/AddExpression.java,171,right,"new Token(tokens.peek() + ""SUBSTRING_START"")",False,True,UNKNOWN,
./data/AddExpression.java,173,if (right.equals(0)) {{,else if (right.equals(0)) {{,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
./data/AddExpression.java,173,right.equals(0),right == 0,False,True,UNKNOWN,
