file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,keysFactory,responseFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,42,return,return 1,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,48,"key, value, session","key, value, null",True,True,UNKNOWN,505058a03b6c5618d9cb395899f3e01e
./data/AbstractNaturalIdDataAccess.java,49,false,true,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,54,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,59,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,60,Return,return false;,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,65,<FAILED>,<FAILED>,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,75,clearCache(),stop(),False,True,UNKNOWN,
./data/AddExpression.java,49,right.type.isType(TC_VOID),left.type.isType(TC_VOID),True,True,UNKNOWN,66b119de66273d1f238dbe7890b93d50
./data/AddExpression.java,49,!right.type.isType(TC_VOID),right.type.isType(TC_VOID),True,True,OR,086ee9c31f488dcb06545575524664ba
./data/AddExpression.java,49,(left.type == Type.tString),(left.type == Type.tString) && (right.type == Type.tString),True,True,UNKNOWN,044c5e26fbe6314ce7a36a66c9fbd80d
./data/AddExpression.java,49,Type.tString,Type.tc_void,False,True,UNKNOWN,
./data/AddExpression.java,49,(left.type == Type.tString) && !right.type.isType(TC_VOID),left.type == Type.tString,True,True,UNKNOWN,5234ef568b319e20b7df5a7f8b99daf4
./data/AddExpression.java,50,<FAILED>,<FAILED>,True,False,UNKNOWN,e153b0864c3926f0a26506d3cd0b6870
./data/AddExpression.java,51,return,System.exit(0);,True,True,UNKNOWN,230f952f893989ce52704a072b7320d1
./data/AddExpression.java,52,(right.type == Type.tString) && !left.type.isType(TC_VOID),"right.name == ""String"" && left.name != ""void""",False,True,UNKNOWN,
./data/AddExpression.java,52,right.type == Type.tString,right.type == Type.tInteger,False,True,UNKNOWN,
./data/AddExpression.java,52,(right.type == Type.tString),(right.type != Type.tString),True,True,OR,51798f979c677b56be82ed815b87d3e0
./data/AddExpression.java,52,Type.tString,Type.tInt,True,True,UNKNOWN,b5f7d396f6655b592fb6b17188ec3d86
./data/AddExpression.java,52,Type.tString,Type.tChar,True,True,UNKNOWN,7b133fa12f4c6c8f0dc3a3496ff0e824
./data/AddExpression.java,53,Type.tString,Type.tObject,True,True,UNKNOWN,cd9ad881a86bdef87d847b0794067e29
./data/AddExpression.java,54,return,continue,False,True,UNKNOWN,
./data/AddExpression.java,56,"env.context, tm","env, tm",True,False,UNKNOWN,e153b0864c3926f0a26506d3cd0b6870
./data/AddExpression.java,61,true,false,True,True,VR,0721664040374623f0c3acf80a68a216
./data/AddExpression.java,68,"new IntExpression(where, a + b)",functionExpression,False,True,UNKNOWN,
./data/AddExpression.java,68,a + b,a * b,True,True,OR,4b8ca6ba941204d21b5e6ea983803409
./data/AddExpression.java,68,"""a + b""","""a + 1""",True,False,VR,e153b0864c3926f0a26506d3cd0b6870
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new IntExpression(where, a - b)",True,True,OR,a16fc4f070d9e7f8fe5e9029c8e90f19
./data/AddExpression.java,71,where,where.where(where.And),False,True,UNKNOWN,
./data/AddExpression.java,71,"""a + b""","""b + a""",True,False,VR,e153b0864c3926f0a26506d3cd0b6870
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a + b + 1)",True,True,UNKNOWN,56d8f744c2f40cb38039b519dba05e2b
./data/AddExpression.java,71,a + b,a - b,True,True,OR,e824edbc70d68dd990d3de41594bd5db
./data/AddExpression.java,74,a + b,(a * Math.random()) + (b * Math.random()),False,True,UNKNOWN,
./data/AddExpression.java,74,"FloatExpression(where, a + b)","DoubleExpression(where, a + b)",True,True,UNKNOWN,2ee5616a976e4b21e3e5f011b63f8840
./data/AddExpression.java,74,"""a + b""","""b + a""",True,False,VR,e153b0864c3926f0a26506d3cd0b6870
./data/AddExpression.java,74,a + b,a \* b,False,True,UNKNOWN,
./data/AddExpression.java,77,"""a + b"";","""b + c"";",True,False,UNKNOWN,e153b0864c3926f0a26506d3cd0b6870
./data/AddExpression.java,77,+,-,True,True,OR,ec9b21a5a022e63b163162ab9a9f6b2d
./data/AddExpression.java,77,DoubleExpression,LongExpression,False,True,UNKNOWN,
./data/AddExpression.java,77,"new DoubleExpression(where, a + b)","new DoubleExnpress(where, a * b)",False,True,UNKNOWN,
./data/AddExpression.java,80,"new StringExpression(where, a + b)","new StringExpression(where, a * b)",False,True,OR,
