file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,this.keysFactory,keysFactory,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,37,naturalIdValues,persister,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,42,k.getString();,( Enum<?> )k.getString();,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,48,"getStorageAccess().putIntoCache( key, value );","putIntoCache( key, value );",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,false,true,True,True,VR,554753522503ed408359c2a5e13af64f
./data/AbstractNaturalIdDataAccess.java,59,getStorageAccess(),storageAccess,False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,60,true,false,True,True,VR,70243b9d5093f817d52963e349cd4917
./data/AbstractNaturalIdDataAccess.java,65,return null;,return true;,True,False,VR,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,75,SCache.clearCache();,this.clearCache();,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AddExpression.java,49,((left.type == Type.tString) && !right.type.isType(TC_VOID)),(string == null ? right.type != Type.tString : right.type != Type.tVoid)),False,True,UNKNOWN,
./data/AddExpression.java,49,(left.type == Type.tString) && !right.type.isType(TC_VOID),"(left.type == ""String"" && true)",False,True,UNKNOWN,
./data/AddExpression.java,49,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,49,left.type == Type.tString,right.type != Type.tVoid,True,True,UNKNOWN,6a52676e95809e8523630b453fe9f14d
./data/AddExpression.java,49,left.type == Type.tString,left.type.isType(Type.tString),False,True,UNKNOWN,
./data/AddExpression.java,50,Type.tString,type,True,True,UNKNOWN,784e9b759ac46b2cdde0e0b26ff45efd
./data/AddExpression.java,51,return,return this.getSsn() != null ? new BigInteger(this.ssn) : null;,False,True,UNKNOWN,
./data/AddExpression.java,52,right.type == Type.tString && !left.type.isType(TC_VOID),(left.type == Type.tString) && !right.isType(TC_VOID),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,right.type == Type.tString || left.type.isType(TC_VOID),"right.type.isType(""tString"") && left.type.isType(""TC_VOID"")",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,(right.type == Type.tString) && !left.type.isType(TC_VOID),(right.type == Type.tString) && !(left.type.isType(TC_VOID) || left.type.isType(TC_CLASS_TOP)),False,True,UNKNOWN,
./data/AddExpression.java,52,((right.type == Type.tString)),right.type.isType(Type.STRING),True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,}} else ((right.type == Type.tString) && !left.type.isType(TC_VOID)) {{,}} else ((right.type.isType(Type.tString)) && !left.type.isType(TC_VOID)) {{,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,53,Type.tString,Type.tValue,False,True,UNKNOWN,
./data/AddExpression.java,54,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,56,super,(CharTermAttribute)tm,False,True,UNKNOWN,
./data/AddExpression.java,61,true,false,True,True,VR,1bc51d72802f656e8e762eeec9ebf463
