file,line,original,replacement,compiles,modifies,type,signature
./data/AbstractNaturalIdDataAccess.java,29,keysFactory,keysFactory,True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,37,"keysFactory.createNaturalIdKey( naturalIdValues, persister, session )","keysFactory.createNaturalIdKey( naturalIdValues, null, session )",True,True,UNKNOWN,dec9e4043a3ac80ce9ecc5dbb7918087
./data/AbstractNaturalIdDataAccess.java,42,cacheKey.getSubclassPropertySpan(),cacheKey.getLockKey(),True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,48,"getStorageAccess().putIntoCache( key, value, session );","getStorageAccess().putIntoCache( key, value, null );",True,True,UNKNOWN,505058a03b6c5618d9cb395899f3e01e
./data/AbstractNaturalIdDataAccess.java,49,true,false,True,True,VR,96814d815d9f0385ab3ef660d2608ba8
./data/AbstractNaturalIdDataAccess.java,54,false,!isUnixOS() || getUseJK(),False,True,UNKNOWN,
./data/AbstractNaturalIdDataAccess.java,59,"getStorageAccess().putIntoCache( key, value, null );","getStorageAccess().putIntoCache( key, value, session );",True,False,UNKNOWN,62c4bf7465dee249ab00e56506a311b3
./data/AbstractNaturalIdDataAccess.java,60,true,false,True,True,VR,70243b9d5093f817d52963e349cd4917
./data/AbstractNaturalIdDataAccess.java,65,false,true,True,True,VR,a51af145a6a5b7550a7dba1726bb1edb
./data/AbstractNaturalIdDataAccess.java,75,clearCache(),this.cache.clear(),False,True,UNKNOWN,
./data/AddExpression.java,49,Type.tString,left.type,True,True,UNKNOWN,e745aae979c0af24990daf9c8ee459f5
./data/AddExpression.java,49,!right.type.isType(TC_VOID),right.type == TC_VOID,False,True,UNKNOWN,
./data/AddExpression.java,49,left.type == Type.tString,!(left.type == Type.tString),True,True,UNKNOWN,4d650728b470d67e6850eae6cfc5f1c2
./data/AddExpression.java,49,!right.type.isType(TC_VOID),"IsTypeDetector.isNotType(right.type,TC_VOID)",False,True,UNKNOWN,
./data/AddExpression.java,49,left.type,left.getType(),True,True,UNKNOWN,32633db0118ac173e67a449b394088b7
./data/AddExpression.java,50,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,51,return;,*/,False,True,UNKNOWN,
./data/AddExpression.java,52,(right.type == Type.tString),(right.type == Types.String),False,True,UNKNOWN,
./data/AddExpression.java,52,Type.tString,right.type,True,True,UNKNOWN,8d9996cd129cd6a0b17b661a47ff5dec
./data/AddExpression.java,52,right.type,right.getType(),True,True,UNKNOWN,d0157e6cea13225ce605f7471c5f2b2a
./data/AddExpression.java,52,<FAILED>,<FAILED>,True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,52,right.type,right.getType(),True,True,UNKNOWN,d0157e6cea13225ce605f7471c5f2b2a
./data/AddExpression.java,53,Type.tString,"Strings.concat(""Foo"", ""Bar"", ""eggs"", ""bacon"")",False,True,UNKNOWN,
./data/AddExpression.java,54,NoMethodError: undefined method `*' for nil:NilClass,3,True,False,VR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,56,"super.selectType(env, ctx, tm)","super.selectType(env, ctx, tm)",True,False,UNKNOWN,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,61,true,false,True,True,VR,1bc51d72802f656e8e762eeec9ebf463
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new StringExpression(where, ""(int) (a + b)"") => new IntExpression(where, ""(a + b)"")",False,True,UNKNOWN,
./data/AddExpression.java,68,"new IntExpression(where, a + b)","new IntExpression(where, StringExpression.add(a,b))",False,True,UNKNOWN,
./data/AddExpression.java,68,"new IntExpression(where, a + b)","return new IntExpression(where,a+b);",False,True,UNKNOWN,
./data/AddExpression.java,68,"new IntExpression(where,a+b)","new IntExpression(where,a-b)",True,False,OR,c963de68d55c6253fe0f97450ed237d7
./data/AddExpression.java,71,"new LongExpression(where, a + b)","LongUtils.addExact(a, b)",False,True,UNKNOWN,
./data/AddExpression.java,71,"new LongExpression(where, a + b)","new LongExpression(where, a - b)",True,True,OR,b972c31a53998b0db4da51430aa9d1b0
./data/AddExpression.java,71,"new LongExpression(where, a + b)",null,True,True,UNKNOWN,6f06c618453265f33af8726ffb65409d
